Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Poulsbo,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL Y
Olalla,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,HYUNDAI-IONIQ 5
Seabeck,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BMW-X5
Rainier,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,TOYOTA-RAV4 PRIME
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Bellevue,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BMW-I3
Marysville,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,BMW-330E
Kirkland,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Redmond,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Newcastle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Seattle,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,KIA-NIRO
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,POLESTAR-PS2
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Kent,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BMW-I3
Olalla,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Issaquah,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Edmonds,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BMW-X5
Yakima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Woodinville,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,BMW-I3
Yelm,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,MAZDA-CX-90
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Mukilteo,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Kent,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Kingston,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Langley,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-BOLT EV
Poulsbo,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,VOLVO-XC90
Yakima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Seattle,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Arlington,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-GRAND CHEROKEE
Selah,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,POLESTAR-PS2
Bainbridge Island,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Redmond,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Redmond,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Poulsbo,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Olympia,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL Y
Olympia,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-VOLT
Poulsbo,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,BMW-X5
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Yakima,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL 3
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-SPARK
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL S
Seatac,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,FIAT-500
Silverdale,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,KIA-NIRO
Poulsbo,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-VOLT
Bothell,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,TESLA-MODEL Y
Yakima,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,LINCOLN-CORSAIR
Bremerton,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,HYUNDAI-IONIQ
Yakima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Olympia,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,NISSAN-LEAF
Marysville,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Yakima,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,KIA-SOUL
Port Orchard,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,KIA-NIRO
Olympia,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,JEEP-WRANGLER
Duvall,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Bremerton,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,NISSAN-LEAF
Olympia,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,CHEVROLET-VOLT
Burien,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,AUDI-A3
Olympia,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,DODGE-HORNET
Bothell,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,RIVIAN-R1S
Sammamish,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL X
Olympia,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
Bothell,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL Y
Oak Harbor,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,TESLA-MODEL 3
